id_atribut_sada;nazev;scenar_nazev;Průměr_kol;Vítěz_Hráč1_%;Medián_kol;Min_kol;Max_kol;Směrodatná_odchylka_kol;Počet_simulací;Vítěz_Hráč2_%;Nerozhodně_%;Neznámý_%
1.zaklad;Rytíř_vs_Barbar;rovina;5.41;85.3;5.0;4;11;1.19;1000;14.7;0.0;0.0
2.oslabeni;Rytíř_vs_Barbar;hora;8.89;70.8;8.0;5;23;2.73;1000;29.2;0.0;0.0
2.oslabeni;Rytíř_vs_Barbar;rovina;5.7;70.2;5.0;4;12;1.27;1000;29.8;0.0;0.0
3.posileni_barbar_lovec;Rytíř_vs_Barbar;hora;8.77;52.2;8.0;5;23;2.7;1000;47.8;0.0;0.0
3.posileni_barbar_lovec;Rytíř_vs_Barbar;rovina;5.64;57.5;5.0;4;12;1.28;1000;42.5;0.0;0.0
4.rytir_barbar;Rytíř_vs_Barbar;hora;8.66;41.8;8.0;5;23;2.72;1000;58.2;0.0;0.0
4.rytir_barbar;Rytíř_vs_Barbar;rovina;5.54;43.2;5.0;3;12;1.28;1000;56.8;0.0;0.0
5.;Rytíř_vs_Barbar;hora;8.49;64.5;8.0;5;23;2.71;1000;35.5;0.0;0.0
5.;Rytíř_vs_Barbar;rovina;5.38;65.4;5.0;3;12;1.27;1000;34.6;0.0;0.0
6.lovec_def_-1;Rytíř_vs_Barbar;hora;8.49;64.5;8.0;5;23;2.71;1000;35.5;0.0;0.0
6.lovec_def_-1;Rytíř_vs_Barbar;rovina;5.38;65.4;5.0;3;12;1.27;1000;34.6;0.0;0.0
1.zaklad;Rytíř_vs_Lovec;hora;10.28;99.4;10.0;4;23;2.88;1000;0.6;0.0;0.0
1.zaklad;Rytíř_vs_Lovec;rovina;5.96;99.9;6.0;3;13;1.51;1000;0.1;0.0;0.0
2.oslabeni;Rytíř_vs_Lovec;hora;10.77;78.8;10.0;6;26;2.83;1000;21.2;0.0;0.0
2.oslabeni;Rytíř_vs_Lovec;rovina;5.94;91.6;6.0;4;11;1.36;1000;8.4;0.0;0.0
3.posileni_barbar_lovec;Rytíř_vs_Lovec;hora;10.78;78.4;10.0;6;26;2.84;1000;21.6;0.0;0.0
3.posileni_barbar_lovec;Rytíř_vs_Lovec;rovina;5.94;91.6;6.0;4;11;1.36;1000;8.4;0.0;0.0
4.rytir_barbar;Rytíř_vs_Lovec;hora;10.57;69.9;10.0;6;25;2.74;1000;30.1;0.0;0.0
4.rytir_barbar;Rytíř_vs_Lovec;rovina;5.87;87.8;6.0;4;11;1.29;1000;12.2;0.0;0.0
5.;Rytíř_vs_Lovec;hora;10.52;76.7;10.0;6;25;2.75;1000;23.3;0.0;0.0
5.;Rytíř_vs_Lovec;rovina;5.74;92.9;6.0;4;11;1.26;1000;7.1;0.0;0.0
6.lovec_def_-1;Rytíř_vs_Lovec;hora;10.16;84.9;10.0;4;23;2.66;1000;15.1;0.0;0.0
6.lovec_def_-1;Rytíř_vs_Lovec;rovina;5.54;95.8;5.0;3;11;1.22;1000;4.2;0.0;0.0
1.zaklad;Rytíř_vs_Ostrostřelec;hora;11.15;34.3;11.0;6;25;2.59;1000;65.7;0.0;0.0
1.zaklad;Rytíř_vs_Ostrostřelec;rovina;7.62;58.5;8.0;4;13;1.35;1000;41.5;0.0;0.0
2.oslabeni;Rytíř_vs_Ostrostřelec;hora;10.43;10.3;10.0;6;20;2.28;1000;89.7;0.0;0.0
2.oslabeni;Rytíř_vs_Ostrostřelec;rovina;7.19;25.6;7.0;5;13;1.19;1000;74.4;0.0;0.0
3.posileni_barbar_lovec;Rytíř_vs_Ostrostřelec;hora;10.43;10.3;10.0;6;20;2.28;1000;89.7;0.0;0.0
3.posileni_barbar_lovec;Rytíř_vs_Ostrostřelec;rovina;7.19;25.6;7.0;5;13;1.19;1000;74.4;0.0;0.0
4.rytir_barbar;Rytíř_vs_Ostrostřelec;hora;9.88;6.4;10.0;5;20;2.16;1000;93.6;0.0;0.0
